singer,title,film_album,film_or_nonfilm,year,Language,youtube_url,search_query_used,confidence_score,discovery_timestamp,ai_model_detected,ai_channel_verified
Lata Mangeshkar,Piya Tose Naina Laage Re,Guide,Film,1965,Hindi,https://www.youtube.com/watch?v=_lgACMqCpus,AI cover Lata Mangeshkar Piya Tose Naina Laage Re,0.7100000000000001,2025-09-08 00:36:38,Unknown,False
Alka Yagnik,Paayal Meri,Rajkumar,Film,1996,Hindi,https://www.youtube.com/watch?v=1cLcQi9atok,voice clone Alka Yagnik Paayal Meri,0.65,2025-09-08 00:36:43,Unknown,False
Lata Mangeshkar,Ye Samaa Samaa Hai Pyar Ka,Jab Jab Phool Khile,Film,1965,Hindi,https://www.youtube.com/watch?v=qeD_KseeDdI,Lata Mangeshkar Ye Samaa Samaa Hai Pyar Ka AI cover official,0.85,2025-09-08 00:36:43,Unknown,True
Lata Mangeshkar,Aaja Piya Tohe Pyar Doon,Baharon Ke Sapne,Film,1967,Hindi,https://www.youtube.com/watch?v=QhPEZhVAaxE,Lata Mangeshkar Aaja Piya Tohe Pyar Doon AI cover official,0.65,2025-09-08 00:36:46,Unknown,False
Shreya Ghoshal,Yeh Ishq Hai,Jab We Met,Film,2007,Hindi,https://www.youtube.com/watch?v=b_sCZbYyuO4,synthetic Shreya Ghoshal Yeh Ishq Hai,0.7,2025-09-08 00:36:50,Unknown,False
Shreya Ghoshal,Teri Ore,Singh Is Kinng,Film,2008,Hindi,https://www.youtube.com/watch?v=vh41WYiZ3F4,Shreya Ghoshal Teri Ore synthesized Hindi,0.75,2025-09-08 00:36:52,Unknown,False
Lata Mangeshkar,Bahon Mein Chale Aao,Anamika,Film,1973,Hindi,https://www.youtube.com/watch?v=LjgOXSZ1Ydw,AI singing Lata Mangeshkar Bahon Mein Chale Aao,0.8,2025-09-08 00:36:52,Unknown,True
Shaan,Bolo Bolo,Rehnaa Hai Terre Dil Mein,Film,2001,Hindi,https://www.youtube.com/watch?v=5CH0PQR2cLY,AI cover Shaan Bolo Bolo,0.8500000000000001,2025-09-08 00:36:57,Unknown,False
Lata Mangeshkar,Jane Kyon Log Mohabbat Kiya,Mehboob Ki Mehndi,Film,1971,Hindi,https://www.youtube.com/watch?v=-FLJZrtUQeE,generated Lata Mangeshkar Jane Kyon Log Mohabbat Kiya,0.7000000000000001,2025-09-08 00:36:57,Unknown,False
Himesh Reshammiya,Naam Hai Tera,,Non-film,2006,Hindi,https://www.youtube.com/watch?v=PGpLVUbh3QI,Himesh Reshammiya Naam Hai Tera AI singing 2006,0.75,2025-09-08 00:36:57,Unknown,False
Himesh Reshammiya,Tera Surroor,,Non-film,2006,Hindi,https://www.youtube.com/watch?v=DULrvDVqyXI,Himesh Reshammiya Tera Surroor synthesized official,0.7,2025-09-08 00:37:00,Unknown,False
Shaan,Mere Samnewali Khidki Mein,Dil Vil Pyar Vyar,Film,2002,Hindi,https://www.youtube.com/watch?v=Eu16Ayw90lk,Shaan Mere Samnewali Khidki Mein synthesized Hindi,0.65,2025-09-08 00:37:00,Unknown,False
Shreya Ghoshal,Leja Leja Re,Ustad & The Divas,Non-film,2008,Hindi,https://www.youtube.com/watch?v=EqHbN1PZ-zw,deepfake Shreya Ghoshal Leja Leja Re,0.65,2025-09-08 00:37:02,Unknown,False
Shaan,Suno Na,Jhankaar Beats,Film,2003,Hindi,https://www.youtube.com/watch?v=B9Csw8BAy_8,Shaan Suno Na AI cover,0.75,2025-09-08 00:37:02,Unknown,False
Udit Narayan,Ram Jaane (Sad),Ram Jaane,Film,1995,Hindi,https://www.youtube.com/watch?v=zSVy-QuzF_k,AI cover Udit Narayan Ram Jaane (Sad),0.6833333333333333,2025-09-08 00:37:04,Unknown,False
Shreya Ghoshal,Aaj Dil Gustakh Hai,Blue,Film,2009,Hindi,https://www.youtube.com/watch?v=0TwvGedEeEk,generated Shreya Ghoshal Aaj Dil Gustakh Hai,0.75,2025-09-08 00:37:07,Unknown,False
Himesh Reshammiya,Aap Ki Khatir,Aap Ki Khatir,Film,2006,Hindi,https://www.youtube.com/watch?v=s3iyGWvk_p0,AI singing Himesh Reshammiya Aap Ki Khatir,1.0,2025-09-08 00:37:10,Unknown,True
Shreya Ghoshal,Bahara,I Hate Luv Storys,Film,2010,Hindi,https://www.youtube.com/watch?v=vWtPOrS1ci0,Shreya Ghoshal Bahara AI singing 2010,0.65,2025-09-08 00:37:19,Unknown,False
Alka Yagnik,Dil Laga Liya Maine,Dil Hai Tumhaara,Film,2002,Hindi,https://www.youtube.com/watch?v=cdSqD_OQFg0,Alka Yagnik Dil Laga Liya Maine generated,0.75,2025-09-08 00:37:23,Unknown,False
Lata Mangeshkar,Chalte Chalte Yun Hi Koi,Pakeezah,Film,1972,Hindi,https://www.youtube.com/watch?v=Z-m5EQsfyzE,Lata Mangeshkar Chalte Chalte Yun Hi Koi synthesized 1972,0.66,2025-09-08 01:49:52,Unknown,False
Lata Mangeshkar,Main Tere Ishq Mein,Loafer,Film,1973,Hindi,https://www.youtube.com/watch?v=MhdBR-sVZzU,AI version Lata Mangeshkar Main Tere Ishq Mein,0.75,2025-09-08 01:49:54,Unknown,False
Lata Mangeshkar,Tere Bina Jiya Jaye Naa,Ghar,Film,1978,Hindi,https://www.youtube.com/watch?v=bV-KTgQrnfo,Lata Mangeshkar Tere Bina Jiya Jaye Naa synthesized 1978,0.7100000000000001,2025-09-08 01:49:57,Unknown,False
Lata Mangeshkar,Tune O Rangeele,Kudrat,Film,1981,Hindi,https://www.youtube.com/watch?v=UiYFj-HYXR4,Lata Mangeshkar Tune O Rangeele voice clone,0.7833333333333333,2025-09-08 01:50:02,Unknown,True
Lata Mangeshkar,Solah Baras Ki Bali Umar,Ek Duuje Ke Liye,Film,1981,Hindi,https://www.youtube.com/watch?v=7ZsNuidK73M,Lata Mangeshkar Solah Baras Ki Bali Umar synthesized official,0.7100000000000001,2025-09-08 01:50:33,Unknown,False
Lata Mangeshkar,Tujhse Naraz Nahin Zindagi,Masoom,Film,1983,Hindi,https://www.youtube.com/watch?v=T2V1lFQ62Is,Lata Mangeshkar Tujhse Naraz Nahin Zindagi AI cover official,0.65,2025-09-08 01:50:35,Unknown,False
Lata Mangeshkar,Sun Sahiba Sun,Ram Teri Ganga Maili,Film,1985,Hindi,https://www.youtube.com/watch?v=uMo_YAkzSas,AI version Lata Mangeshkar Sun Sahiba Sun,1.0,2025-09-08 01:50:40,Unknown,False
Lata Mangeshkar,Didi Tera Devar Deewana,Hum Aapke Hain Koun,Film,1994,Hindi,https://www.youtube.com/watch?v=vVKYDqM307w,Lata Mangeshkar Didi Tera Devar Deewana voice clone 1994,0.75,2025-09-08 01:50:42,Unknown,False
Lata Mangeshkar,Yara Seeli Seeli,Lekin,Film,1990,Hindi,https://www.youtube.com/watch?v=Obar4XJQDIw,Lata Mangeshkar Yara Seeli Seeli AI cover,0.75,2025-09-08 01:50:58,Unknown,False
Lata Mangeshkar,Maye Ni Maye,Hum Aapke Hain Koun,Film,1994,Hindi,https://www.youtube.com/watch?v=WCgSiss7ABM,Lata Mangeshkar Maye Ni Maye synthesized,0.6833333333333333,2025-09-08 01:51:08,Unknown,False
Lata Mangeshkar,Mere Khwabon Mein,Dilwale Dulhania Le Jayenge,Film,1995,Hindi,https://www.youtube.com/watch?v=yn-ew_QTXYE,synthetic Lata Mangeshkar Mere Khwabon Mein,0.85,2025-09-08 01:51:10,Unknown,True
Asha Bhosle,Aaiye Meharban,Howrah Bridge,Film,1958,Hindi,https://www.youtube.com/watch?v=mQAY-6GuNdM,Asha Bhosle Aaiye Meharban deepfake official,0.75,2025-09-08 01:51:12,Unknown,False
Asha Bhosle,Paan Khaye Saiyan Hamarao,Teesri Manzil,Film,1966,Hindi,https://www.youtube.com/watch?v=PPFIy9_Cr4U,generated Asha Bhosle Paan Khaye Saiyan Hamarao,0.7000000000000001,2025-09-08 01:51:14,Unknown,False
Asha Bhosle,Jhumka Gira Re,Mera Saaya,Film,1966,Hindi,https://www.youtube.com/watch?v=F9ECyBnLCDw,AI version Asha Bhosle Jhumka Gira Re,0.7833333333333334,2025-09-08 01:51:19,Unknown,False
Asha Bhosle,Raat Akeli Hai,Jewel Thief,Film,1967,Hindi,https://www.youtube.com/watch?v=crP9xCHqKRI,Asha Bhosle Raat Akeli Hai AI singing Hindi,0.75,2025-09-08 01:51:21,Unknown,False
Asha Bhosle,Raat Ke Humsafar,An Evening In Paris,Film,1967,Hindi,https://www.youtube.com/watch?v=bR0kAB95JA4,Asha Bhosle Raat Ke Humsafar voice clone,0.6666666666666666,2025-09-08 01:51:43,Unknown,True
Asha Bhosle,Aao Huzoor Tumko,Kismet,Film,1968,Hindi,https://www.youtube.com/watch?v=qCjsPx4she0,Asha Bhosle Aao Huzoor Tumko synthesized,0.85,2025-09-08 01:51:45,Unknown,True
Asha Bhosle,Parde Mein Rahne Do,Shikar,Film,1968,Hindi,https://www.youtube.com/watch?v=eG2e05brTFM,Asha Bhosle Parde Mein Rahne Do AI cover,0.7,2025-09-08 01:52:14,Unknown,True
Asha Bhosle,Dum Maro Dum Mit Jaye Gham,Hare Rama Hare Krishna,Film,1971,Hindi,https://www.youtube.com/watch?v=4yz1J9OsUUk,Asha Bhosle Dum Maro Dum Mit Jaye Gham deepfake official,0.75,2025-09-08 01:52:25,Unknown,True
Asha Bhosle,Zindagi Ek Safar Hai Suhana,Andaz,Film,1971,Hindi,https://www.youtube.com/watch?v=-itplFP2JsE,Asha Bhosle Zindagi Ek Safar Hai Suhana AI cover 1971,0.7100000000000001,2025-09-08 01:53:07,Unknown,False
Asha Bhosle,Dil Cheez Kya Hai,Umrao Jaan,Film,1981,Hindi,https://www.youtube.com/watch?v=eFcs3p1moMA,Asha Bhosle Dil Cheez Kya Hai synthetic,0.7,2025-09-08 01:54:21,Unknown,False
Asha Bhosle,Jawani Jan-E-man,Namak Halaal,Film,1982,Hindi,https://www.youtube.com/watch?v=Xu626_-39wg,Asha Bhosle Jawani Jan-E-man voice clone official,0.75,2025-09-08 01:54:57,Unknown,True
Asha Bhosle,Tanha Tanha Yahan Pe Jeena,Rangeela,Film,1995,Hindi,https://www.youtube.com/watch?v=66raJJ0szHU,AI version Asha Bhosle Tanha Tanha Yahan Pe Jeena,0.81,2025-09-08 01:56:14,Unknown,True
Asha Bhosle,Zara Sa Jhoom Loon Main,Dilwale Dulhania Le Jayenge,Film,1995,Hindi,https://www.youtube.com/watch?v=11TJrA33uno,AI cover Asha Bhosle Zara Sa Jhoom Loon Main,0.7100000000000001,2025-09-08 01:56:29,Unknown,False
Asha Bhosle,Le Gayi,Dil To Pagal Hai,Film,1997,Hindi,https://www.youtube.com/watch?v=CRxhKMENHrw,Asha Bhosle Le Gayi AI singing official,0.65,2025-09-08 01:56:31,Unknown,True
Asha Bhosle,Kambakht Ishq,Pyaar Tune Kya Kiya,Film,2001,Hindi,https://www.youtube.com/watch?v=4RtlIwJ7AsU,deepfake Asha Bhosle Kambakht Ishq,0.65,2025-09-08 01:57:10,Unknown,False
Asha Bhosle,Sharara Sharara,Mere Yaar Ki Shaadi Hai,Film,2002,Hindi,https://www.youtube.com/watch?v=Jfg_4buhPLU,Asha Bhosle Sharara Sharara deepfake Hindi,0.75,2025-09-08 01:57:13,Unknown,False
Asha Bhosle,Woh Koi Aaya Lachak Uthi Kaya,Dastan,Film,1972,Hindi,https://www.youtube.com/watch?v=quH4kdQleVs,AI cover Asha Bhosle Woh Koi Aaya Lachak Uthi Kaya,0.65,2025-09-08 01:57:15,Unknown,False
Asha Bhosle,Haye Bichhua Das Gayo Re,Jheel Ke Us Paar,Film,1973,Hindi,https://www.youtube.com/watch?v=JOmHrdI0i8U,Asha Bhosle Haye Bichhua Das Gayo Re deepfake 1973,0.75,2025-09-08 01:57:27,Unknown,True
Alka Yagnik,Aaye Ho Meri Zindagi Mein,Raja Hindustani,Film,1996,Hindi,https://www.youtube.com/watch?v=Vzt2wFAg4og,RETRY: Alka Yagnik Aaye Ho Meri Zindagi Mein studio AI 1996,0.56,2025-09-08 01:58:14,Unknown,False
Alka Yagnik,Oodhni,Tere Naam,Film,2003,Hindi,https://www.youtube.com/watch?v=Z2T71geXXZ4,Alka Yagnik Oodhni AI singing official,0.75,2025-09-08 01:58:34,Unknown,True
Alka Yagnik,Tumse Milna,Tere Naam,Film,2003,Hindi,https://www.youtube.com/watch?v=mOFM4ONTJcI,Alka Yagnik Tumse Milna AI singing official,0.65,2025-09-08 01:59:24,Unknown,False
Alka Yagnik,Sanam Mere Humraaz,Humraaz,Film,2002,Hindi,https://www.youtube.com/watch?v=q8cpykw_nrw,Alka Yagnik Sanam Mere Humraaz deepfake,0.65,2025-09-08 01:59:32,Unknown,False
Alka Yagnik,Suraj Hua Maddham,Kabhi Khushi Kabhie Gham,Film,2001,Hindi,https://www.youtube.com/watch?v=OvKA1ZJhggo,Alka Yagnik Suraj Hua Maddham AI singing Hindi,0.65,2025-09-08 01:59:34,Unknown,False
Alka Yagnik,Kasam Khake Kaho,Dil Hai Tumhaara,Film,2002,Hindi,https://www.youtube.com/watch?v=twuYkrkyDd4,Alka Yagnik Kasam Khake Kaho AI version,0.75,2025-09-08 02:00:50,Unknown,False
Alka Yagnik,Akele Hain To Kya Gham Hai,Qayamat Se Qayamat Tak,Film,1988,Hindi,https://www.youtube.com/watch?v=XjrZ3pns8tU,Alka Yagnik Akele Hain To Kya Gham Hai synthetic,0.6833333333333333,2025-09-08 02:01:29,Unknown,False
Alka Yagnik,Gazab Ka Hai Din,Qayamat Se Qayamat Tak,Film,1988,Hindi,https://www.youtube.com/watch?v=HgYiNVNsHwE,Alka Yagnik Gazab Ka Hai Din AI cover official,0.65,2025-09-08 02:01:31,Unknown,False
Alka Yagnik,Humne Tumko Dil Ye De Diya,Gunaah,Film,2002,Hindi,https://www.youtube.com/watch?v=BfkXGjOpZUY,Alka Yagnik Humne Tumko Dil Ye De Diya AI singing Hindi,0.55,2025-09-08 02:06:12,Unknown,False
Udit Narayan,Ho Nahi Sakta,Diljale,Film,1996,Hindi,https://www.youtube.com/watch?v=uM3XJU_HuQw,Udit Narayan Ho Nahi Sakta voice clone 1996,0.5833333333333334,2025-09-08 02:06:18,Unknown,False
Udit Narayan,Ghar Se Nikalte Hi,Papa Kahte Hain,Film,1996,Hindi,https://www.youtube.com/watch?v=tI6zK8Apvvs,Udit Narayan Ghar Se Nikalte Hi AI cover official,0.85,2025-09-08 02:06:23,Unknown,True
Lata Mangeshkar,Bangle Ke Peechhe,Samadhi,Film,1972,Hindi,https://www.youtube.com/watch?v=KWxoYDWFjyc,voice clone Lata Mangeshkar Bangle Ke Peechhe,0.5833333333333334,2025-09-08 02:06:23,Unknown,False
Udit Narayan,Aaye Ho Meri Zindagi Mein (Male),Raja Hindustani,Film,1996,Hindi,https://www.youtube.com/watch?v=HVBWUe_n-24,AI singing Udit Narayan Aaye Ho Meri Zindagi Mein (Male),0.5833333333333333,2025-09-08 02:06:25,Unknown,True
Himesh Reshammiya,Ulfat,Nanhe Jaisalmer,Film,2007,Hindi,https://www.youtube.com/watch?v=T7luQrQkhKE,Himesh Reshammiya Ulfat synthesized Hindi,0.65,2025-09-08 02:06:26,Unknown,False
Udit Narayan,Tu Bijli Hai,Rajkumar,Film,1996,Hindi,https://www.youtube.com/watch?v=oFBf0_gSw0c,deepfake Udit Narayan Tu Bijli Hai,0.6333333333333333,2025-09-08 02:06:29,Unknown,False
Udit Narayan,Ram Narayan Baaja Bajata,Saajan Chale Sasural,Film,1996,Hindi,https://www.youtube.com/watch?v=klSKCAc-17c,Udit Narayan Ram Narayan Baaja Bajata deepfake official,0.6000000000000001,2025-09-08 02:06:34,Unknown,False
Shaan,Apni Yaadon Ko,Pyaar Ishq Aur Mohabbat,Film,2001,Hindi,https://www.youtube.com/watch?v=7q47be2yhok,RETRY: Shaan Apni Yaadon Ko deepfake,0.75,2025-09-08 02:06:35,Unknown,False
Shaan,Kuch Aisa Jahan,Bas Itna Sa Khwaab Hai,Film,2003,Hindi,https://www.youtube.com/watch?v=MS2_sadnbNE,Shaan Kuch Aisa Jahan deepfake,0.75,2025-09-08 02:06:37,Unknown,False
Asha Bhosle,Piya Tu Ab To Aaja,Caravan,Film,1971,Hindi,https://www.youtube.com/watch?v=2AdDgpQ7YI0,Asha Bhosle Piya Tu Ab To Aaja synthesized Hindi,0.63,2025-09-08 02:06:37,Unknown,False
Udit Narayan,O Soni O Soni,Bhairavi,Film,1996,Hindi,https://www.youtube.com/watch?v=8HC2JHOWtZ4,Udit Narayan O Soni O Soni deepfake Hindi,0.6000000000000001,2025-09-08 02:06:38,Unknown,False
Shaan,Gum Sum Ho Kyon,,Non-film,2004,Hindi,https://www.youtube.com/watch?v=IpR_PuyCg3g,Shaan Gum Sum Ho Kyon AI singing,0.6000000000000001,2025-09-08 02:06:38,Unknown,False
Asha Bhosle,Jaaneman Jaaneman Tere Do Nain,Chhoti Si Baat,Film,1976,Hindi,https://www.youtube.com/watch?v=ks58iZ8sQPw,Asha Bhosle Jaaneman Jaaneman Tere Do Nain AI cover Hindi,0.5700000000000001,2025-09-08 02:06:39,Unknown,False
Shaan,Main Aisa Kyon Hoon,Lakshya,Film,2004,Hindi,https://www.youtube.com/watch?v=gWn4Csu3Kc8,Shaan Main Aisa Kyon Hoon AI singing official,0.65,2025-09-08 02:06:41,Unknown,False
Asha Bhosle,Yeh Mera Dil Yaar Ka Deewana,Don,Film,1978,Hindi,https://www.youtube.com/watch?v=hJI_fXPjfSE,AI version Asha Bhosle Yeh Mera Dil Yaar Ka Deewana,0.55,2025-09-08 02:06:41,Unknown,False
Shreya Ghoshal,O Saathi Re,Omkara,Film,2006,Hindi,https://www.youtube.com/watch?v=6VD0NDgN-RM,RETRY: AI singing Shreya Ghoshal O Saathi Re,0.55,2025-09-08 02:06:42,Unknown,False
Asha Bhosle,In Ankhon Ki Masti,Umrao Jaan,Film,1981,Hindi,https://www.youtube.com/watch?v=d2fP18bGigs,Asha Bhosle In Ankhon Ki Masti AI singing official,0.55,2025-09-08 02:06:43,Unknown,False
Shreya Ghoshal,Rab Rakha,Love Breakups Zindagi,Film,2011,Hindi,https://www.youtube.com/watch?v=C5pUSc37sIA,Shreya Ghoshal Rab Rakha AI singing,0.65,2025-09-08 02:06:43,Unknown,False
Shreya Ghoshal,Saans (Reprise),Jab Tak Hai Jaan,Film,2012,Hindi,https://www.youtube.com/watch?v=P3ksQ2zRTfU,Shreya Ghoshal Saans (Reprise) voice clone,0.55,2025-09-08 02:06:46,Unknown,False
Udit Narayan,O Mummy Mummy,Deewana Mastana,Film,1997,Hindi,https://www.youtube.com/watch?v=rAasSzfScZE,Udit Narayan O Mummy Mummy voice clone 1997,0.5833333333333334,2025-09-08 02:06:46,Unknown,False
Shaan,Aksar,,Non-film,2006,Hindi,https://www.youtube.com/watch?v=l_f8-jc5o3I,Shaan Aksar synthetic,0.65,2025-09-08 02:06:46,Unknown,False
Asha Bhosle,Chhoti Si Kahani Se,Ijaazat,Film,1987,Hindi,https://www.youtube.com/watch?v=uRz6jcaz5Vk,AI version Asha Bhosle Chhoti Si Kahani Se,0.55,2025-09-08 02:06:46,Unknown,False
Udit Narayan,Ghunghte Mein Chanda,Koyla,Film,1997,Hindi,https://www.youtube.com/watch?v=rE3KZVYRAlM,Udit Narayan Ghunghte Mein Chanda synthesized Hindi,0.65,2025-09-08 02:06:48,Unknown,False
Shaan,Jab Se Tere Naina,Saawariya,Film,2007,Hindi,https://www.youtube.com/watch?v=3XtUEgQLI5Y,deepfake Shaan Jab Se Tere Naina,0.65,2025-09-08 02:06:48,Unknown,False
Himesh Reshammiya,Hari Om,Karzzzz,Film,2008,Hindi,https://www.youtube.com/watch?v=9p55CfrfCDE,Himesh Reshammiya Hari Om deepfake Hindi,0.55,2025-09-08 02:06:50,Unknown,False
Udit Narayan,Meri Sanson Mein,Aur Pyaar Ho Gaya,Film,1997,Hindi,https://www.youtube.com/watch?v=Q04pjPOAVLc,AI cover Udit Narayan Meri Sanson Mein,0.6,2025-09-08 02:06:50,Unknown,False
Udit Narayan,Woh Chand Jaisi Ladki,Devdas,Film,2002,Hindi,https://www.youtube.com/watch?v=Uc-VPxqZ238,deepfake Udit Narayan Woh Chand Jaisi Ladki,0.75,2025-09-08 02:06:52,Unknown,False
Asha Bhosle,Mera Kuchh Saamaan,Ijaazat,Film,1987,Hindi,https://www.youtube.com/watch?v=Lpnvy2nDPjY,Asha Bhosle Mera Kuchh Saamaan deepfake official,0.5833333333333334,2025-09-08 02:06:52,Unknown,False
Shaan,Aao Milo Chalo,Jab We Met,Film,2007,Hindi,https://www.youtube.com/watch?v=MJSye3EHbe8,Shaan Aao Milo Chalo AI cover,0.6166666666666667,2025-09-08 02:06:52,Unknown,True
Pankaj Udhas,Mahiya Teri Kasam,Ghayal,Film,1990,Hindi,https://www.youtube.com/watch?v=pnsEU7GXtVQ,Pankaj Udhas Mahiya Teri Kasam AI cover Hindi,0.6166666666666667,2025-09-08 02:06:54,Unknown,False
Alka Yagnik,Jaane Kyon,Dil Chahta Hai,Film,2001,Hindi,https://www.youtube.com/watch?v=MKINmXNgGHM,Alka Yagnik Jaane Kyon voice clone 2001,0.55,2025-09-08 02:06:54,Unknown,False
Shaan,Behti Hawa Sa Tha Woh,3 Idiots,Film,2009,Hindi,https://www.youtube.com/watch?v=ewvddSUEONQ,Shaan Behti Hawa Sa Tha Woh voice clone 2009,0.56,2025-09-08 02:06:54,Unknown,False
Udit Narayan,Tera Mera Saath Rahen (Male),Tera Mera Saath Rahen,Film,2001,Hindi,https://www.youtube.com/watch?v=ABYi9Uzfy0g,deepfake Udit Narayan Tera Mera Saath Rahen (Male),0.7100000000000001,2025-09-08 02:06:55,Unknown,False
